DebtIncomeRatio,Income,PaymentHistory,Assets,Age,FutureIncome,Reliability,BankLoan
Low,Medium,Excellent,Medium,Between26and64,Promising,Reliable,Negative
Low,High,Excellent,High,Over65,Promising,Reliable,Positive
Low,Medium,Unacceptable,High,Between26and64,Promising,Unreliable,Positive
High,Medium,Unacceptable,Low,Over65,Not_promising,Reliable,Positive
High,Medium,Acceptable,Medium,Over65,Promising,Unreliable,Negative
Low,Medium,Excellent,Medium,Over65,Promising,Reliable,Positive
High,High,Unacceptable,Medium,Between26and64,Not_promising,Reliable,Negative
Low,Medium,Excellent,Low,Over65,Promising,Reliable,Positive
High,Low,Unacceptable,Low,Over65,Not_promising,Reliable,Positive
High,Medium,Acceptable,Medium,Between16and25,Promising,Unreliable,Negative
High,Medium,Excellent,High,Between26and64,Promising,Unreliable,Negative
Low,Low,Excellent,Low,Over65,Not_promising,Reliable,Negative
Low,Medium,Excellent,Medium,Over65,Promising,Unreliable,Positive
High,Medium,Unacceptable,High,Between16and25,Promising,Reliable,Positive
High,Low,Acceptable,Low,Between26and64,Not_promising,Reliable,Negative
High,Low,Unacceptable,Medium,Between26and64,Not_promising,Reliable,Negative
Low,High,Excellent,High,Over65,Promising,Reliable,Positive
Low,High,Excellent,High,Between26and64,Promising,Reliable,Positive
Low,Low,Unacceptable,High,Between16and25,Not_promising,Reliable,Positive
Low,Low,Excellent,Medium,Between26and64,Not_promising,Reliable,Positive
Low,High,Excellent,High,Between16and25,Promising,Unreliable,Negative
High,Low,Unacceptable,Low,Between16and25,Not_promising,Unreliable,Negative
Low,High,Acceptable,Low,Over65,Not_promising,Reliable,Negative
Low,Medium,Excellent,Medium,Between16and25,Promising,Reliable,Positive
Low,Low,Excellent,Low,Over65,Not_promising,Reliable,Positive
High,High,Unacceptable,High,Between16and25,Promising,Reliable,Positive
High,Low,Unacceptable,High,Between16and25,Not_promising,Reliable,Positive
Low,Low,Acceptable,High,Over65,Promising,Unreliable,Positive
High,Low,Unacceptable,Medium,Between26and64,Promising,Unreliable,Negative
High,High,Acceptable,High,Between16and25,Promising,Reliable,Positive
High,High,Unacceptable,High,Between26and64,Not_promising,Unreliable,Negative
Low,High,Excellent,High,Over65,Promising,Reliable,Negative
High,High,Unacceptable,High,Between26and64,Promising,Unreliable,Positive
High,Medium,Acceptable,Low,Between26and64,Not_promising,Reliable,Negative
High,High,Unacceptable,High,Between16and25,Promising,Reliable,Negative
High,High,Excellent,High,Over65,Promising,Reliable,Negative
High,High,Acceptable,High,Over65,Promising,Reliable,Positive
High,Medium,Acceptable,Medium,Over65,Not_promising,Reliable,Positive
High,Low,Excellent,Low,Between26and64,Not_promising,Reliable,Negative
High,Low,Unacceptable,Low,Between16and25,Not_promising,Unreliable,Positive
Low,Medium,Acceptable,Medium,Between26and64,Promising,Reliable,Positive
High,Medium,Excellent,Medium,Over65,Promising,Reliable,Positive
Low,High,Excellent,High,Between16and25,Promising,Reliable,Positive
High,High,Excellent,Medium,Between26and64,Promising,Reliable,Positive
High,Low,Unacceptable,Low,Between26and64,Not_promising,Reliable,Positive
High,Medium,Acceptable,Medium,Between26and64,Not_promising,Reliable,Positive
